date,code,open,high,low,close,preclose,volume,amount,pctChg,振幅
2022-11-30,sh.000300,3836.5598,3867.6591,3833.8272,3853.0365,3848.4224,15751140000,250051468093.3,0.119896,0.8791
2022-12-01,sh.000300,3921.2954,3944.5645,3893.8718,3894.7687,3853.0365,16996458500,306678195716.4,1.083099,1.3157
2022-12-02,sh.000300,3886.4034,3898.1146,3865.8844,3870.9478,3894.7687,11678635000,201253166362.9,-0.611613,0.8275
2022-12-05,sh.000300,3907.6375,3947.476,3900.6742,3946.8759,3870.9478,20174722100,296615512326.6,1.961486,1.2091
2022-12-06,sh.000300,3929.0063,3988.9007,3922.9969,3968.1979,3946.8759,15510832300,275583430840.8,0.540225,1.6698
2022-12-07,sh.000300,3956.6722,3999.5864,3944.1831,3958.4409,3968.1979,14300135600,255490829027.1,-0.24588,1.3962
2022-12-08,sh.000300,3953.199,3971.4927,3941.2966,3959.1798,3958.4409,11519998600,198037690481.4,0.018666,0.7628
2022-12-09,sh.000300,3961.9919,4003.3178,3944.4396,3998.2442,3959.1798,15377495400,268166789656.9,0.986679,1.4871
2022-12-12,sh.000300,3976.1722,3983.4332,3950.3203,3953.4433,3998.2442,12593536800,227606300936.9,-1.120514,0.8282
2022-12-13,sh.000300,3953.5482,3964.3957,3939.9795,3945.6813,3953.4433,10099410000,184020700110.0,-0.196335,0.6176
2022-12-14,sh.000300,3952.7885,3972.7381,3935.7668,3954.8857,3945.6813,9852800600,196175108617.2,0.233278,0.937
2022-12-15,sh.000300,3954.672,3963.5002,3926.4997,3951.9885,3954.8857,8886472500,181994889123.4,-0.073256,0.9356
2022-12-16,sh.000300,3931.2318,3960.4705,3929.4873,3954.227,3951.9885,9317856700,167488442588.9,0.056642,0.784
2022-12-19,sh.000300,3952.7707,3966.5679,3878.4367,3893.2207,3954.227,10691907500,180801387702.4,-1.542812,2.2288
2022-12-20,sh.000300,3881.2257,3881.2729,3811.4759,3829.0173,3893.2207,8309682200,164046440873.7,-1.649108,1.7928
2022-12-21,sh.000300,3839.0009,3853.7272,3821.4037,3830.5384,3829.0173,6483921500,123450040359.8,0.039726,0.8442
2022-12-22,sh.000300,3859.2041,3882.1263,3821.3418,3836.028,3830.5384,8370517300,163970306950.9,0.143311,1.5868
